Age,Gender,Income,City,Employment,WorkHours,Commute,DinnersCooked,EnjoysCooking,CookingSkill,CookingChallenges,DinnerTime,WhoCooks,CuisinePreferences,MealType,NonVegFrequency,DietGoals,Allergies,HealthImportance,CalorieTracking,OrderFrequency,SpendOutside,SpendMealKit,PaymentMode,TryMealKit,DeliveryPref,MealFreqSub,DesiredFeatures,ContinueService,ReferService,ReferralIncentive
35,Female,<30k,Delhi NCR,Full-time,8–10,30–60 min,5–6,Yes,2,"No time, Cleaning up, No skills, Not cost-effective, Portioning issues, Grocery hassle, Don't enjoy it",8–9 PM,Hired help,"Continental, Chinese, Mexican, Thai, North Indian, Keto/High-protein, South Indian, Fusion",Vegetarian,Never,"High-protein, Immune boost, Balanced meals, Gut health, Gluten-free, Quick meal-prep",None,4,Occasionally,Never,150–250,₹150,Cash,Definitely,3x/week,5–6,"App-based tracking, Customizable, Easy cooking, Nutrition labels, Fast delivery, Cancel-anytime",Maybe,No,Free meals
40,Female,50k–75k,Bangalore,Homemaker,6–8,15–30 min,5–6,No,2,"Cleaning up, No ideas, Too tired, No skills",8–9 PM,Self,"Chinese, Fusion, Italian, North Indian, Keto/High-protein, Continental, Vegan, Asian",Non-Vegetarian,Never,"Immune boost, Gluten-free, Low-carb, Sustainable eating, Balanced meals, Gut health, Quick meal-prep, High-protein",None,3,Occasionally,3–4 times,150–250,₹200,Wallets,Definitely,3x/week,Daily,"Cancel-anytime, Easy cooking, Nutrition labels, Recipe variety, App-based tracking, Loyalty points, Family plans, No cleanup",Definitely,Definitely,Discounts
40,Prefer not to say,75k–1L,Other,Homemaker,<6,30–60 min,5–6,No,3,"Waste of ingredients, No skills, Grocery hassle, Too tired, Don't enjoy it, Portioning issues",Before 7 PM,Hired help,"Vegan, Asian, Keto/High-protein, South Indian, Thai, Continental",Non-Vegetarian,3–4,"Gluten-free, Diabetes-friendly, Muscle gain, Quick meal-prep, Weight loss",None,3,Occasionally,1–2 times,150–250,₹300+,Wallets,Definitely,3x/week,3–4,"Easy cooking, Cancel-anytime, App-based tracking, Recipe variety",Definitely,Definitely,Free meals
35,Female,30k–50k,Bangalore,Consultant,10+,60+ min,5–6,No,2,"Portioning issues, Waste of ingredients, Not cost-effective, Grocery hassle, Too tired, No time",7–8 PM,Self,"Healthy Superfoods, Vegan, Chinese, Keto/High-protein",Vegetarian,3–4,"Low-carb, High-protein, Weight loss, Gluten-free",Gluten,3,Occasionally,3–4 times,150–250,₹150,Cash,Maybe,Weekly batch,5–6,"Customizable, Easy cooking, Loyalty points, Fast delivery, App-based tracking, No cleanup, Recipe variety",Definitely,Maybe,Discounts
34,Female,75k–1L,Mumbai,Freelancer,8–10,<15 min,1–2,No,1,"Portioning issues, No ideas, Grocery hassle, Too tired, No skills",After 9 PM,Self,"South Indian, North Indian, Vegan, Fusion, Keto/High-protein, Continental, Mexican, Italian",Non-Vegetarian,1–2,"Weight loss, Diabetes-friendly, Balanced meals, Immune boost, Quick meal-prep, Gut health, Low-carb",None,2,Never,3–4 times,250–400,₹250,Credit Card,Definitely,3x/week,1–2,"Nutrition labels, Fast delivery, App-based tracking, Cancel-anytime, Family plans, Customizable, Easy cooking, Recipe variety",No,Definitely,Discounts
30,Female,75k–1L,Delhi NCR,Full-time,8–10,15–30 min,3–4,No,1,"Cleaning up, Don't enjoy it, Waste of ingredients, No ideas, No skills, Portioning issues, Not cost-effective",7–8 PM,Self,"Mexican, Italian, South Indian, North Indian, Keto/High-protein, Thai",Vegan,5+,"Muscle gain, Low-carb, Immune boost, Low-calorie",Soy,4,Occasionally,Never,150–250,₹200,Credit Card,Maybe,3x/week,Daily,"Nutrition labels, Loyalty points, Family plans, Fast delivery, App-based tracking, Easy cooking, No cleanup, Recipe variety",Maybe,Maybe,Discounts
28,Male,50k–75k,Delhi NCR,Consultant,8–10,15–30 min,1–2,Only on weekends,1,"No skills, Portioning issues, Grocery hassle, No time",Before 7 PM,Parent,"Asian, Mexican, Vegan, Continental, North Indian, Fusion",Vegetarian,5+,"Muscle gain, Weight loss, Gluten-free, Immune boost, Diabetes-friendly",None,5,Regularly,1–2 times,>400,₹300+,UPI,Definitely,Weekly batch,5–6,"Loyalty points, Recipe variety, No cleanup, Easy cooking, App-based tracking, Fast delivery",Maybe,Definitely,Free meals
31,Male,1.5L+,Pune,Homemaker,8–10,15–30 min,5–6,Yes,3,"Not cost-effective, Too tired, Don't enjoy it, Portioning issues",After 9 PM,Self,"Chinese, North Indian, Keto/High-protein, Continental, Italian",Vegetarian,Never,"Gluten-free, Gut health, Muscle gain, Balanced meals, Immune boost, Weight loss",Nuts,2,Never,1–2 times,>400,₹200,UPI,Definitely,Weekly batch,3–4,"Loyalty points, Easy cooking, Recipe variety, Family plans, App-based tracking, No cleanup, Nutrition labels, Cancel-anytime",Definitely,Definitely,Free meals
30,Female,1.5L+,Hyderabad,Full-time,6–8,60+ min,Daily,No,3,"Grocery hassle, Don't enjoy it, Cleaning up, Waste of ingredients",8–9 PM,Partner,"Vegan, Asian, Chinese, Continental, Keto/High-protein, Italian",Mixed,Never,"Low-calorie, Balanced meals, Muscle gain, Weight loss, Immune boost, Diabetes-friendly, High-protein, Low-carb",None,2,Never,1–2 times,150–250,₹250,Credit Card,Maybe,On-demand,5–6,"Family plans, Loyalty points, Fast delivery, Nutrition labels",Maybe,Maybe,Free meals
34,Male,30k–50k,Mumbai,Full-time,6–8,30–60 min,None,Yes,2,"Too tired, Portioning issues, Not cost-effective, Cleaning up, No skills, Waste of ingredients, No time, Don't enjoy it",8–9 PM,Self,"Mexican, North Indian, Vegan, Chinese, South Indian, Healthy Superfoods, Keto/High-protein, Continental",Non-Vegetarian,5+,"Gluten-free, Sustainable eating, Quick meal-prep, Muscle gain, Balanced meals, Gut health, Low-calorie, Low-carb",None,3,Never,1–2 times,150–250,₹200,Debit Card,Maybe,Weekly batch,5–6,"Cancel-anytime, Easy cooking, Family plans, Loyalty points, No cleanup, Fast delivery",Definitely,Definitely,Discounts
